1,210
2,1618
6,776
9,1780
15,681
16,190
17,623
22,1
24,586
25,1058
27,70
29,429
31,312
33,974
37,739
38,684
43,1141
44,18
45,346
47,1275
49,974
51,661
53,988
55,476
57,24
58,246
59,814
60,1699
61,825
62,707
65,645
67,514
68,644
71,938
77,265
79,491
81,186
82,475
92,212
93,1187
94,1571
99,170
106,693
107,333
108,785
112,43
113,1099
117,898
119,849
122,35
128,889
130,311
132,237
136,40
137,2300
140,366
142,643
143,1011
146,612
147,82
150,1370
151,942
159,753
160,286
162,53
163,109
165,227
166,1679
171,782
173,552
175,12
176,1562
179,832
183,404
186,884
189,662
195,736
197,1244
199,899
203,366
204,643
206,97
207,771
209,1015
213,159
219,987
223,571
225,83
226,1301
229,802
231,494
232,671
235,342
240,468
241,365
243,684
245,298
247,878
254,114
255,502
256,452
257,587
261,155
262,267
266,527
270,113
272,767
273,712
274,120
277,828
279,396
280,280
282,8
284,969
286,766
287,1776
291,706
293,802
299,961
301,546
303,343
306,1597
309,794
310,327
315,525
322,291
327,458
328,58
329,1589
330,733
332,418
335,361
339,562
346,321
355,199
359,793
360,386
362,1231
368,877
369,895
370,27
371,1769
373,694
375,316
376,714
378,944
379,552
380,90
381,801
383,20
387,148
388,1552
389,1374
390,562
400,582
401,167
402,292
405,589
410,1695
411,158
420,160
427,330
429,920
434,42
439,836
440,951
441,479
442,473
448,701
453,692
454,17
455,605
456,961
458,1354
460,879
461,99
462,522
468,614
469,1909
470,507
472,955
476,202
477,765
484,1037
485,221
488,371
490,736
493,750
494,106
496,1334
499,797
500,996
501,819
506,1339
507,319
508,693
509,880
510,460
512,1191
513,58
514,716
517,1190
519,769
520,933
521,808
523,883
527,1000
528,953
531,586
532,276
534,354
537,510
541,105
551,28
552,107
553,20
558,399
560,549
563,751
570,766
577,977
578,500
579,338
580,527
581,809
583,766
591,180
596,974
597,163
605,26
607,453
609,1148
612,1731
615,908
616,1609
623,828
624,769
627,798
629,851
632,92
634,173
636,87
637,74
639,719
640,932
643,573
646,791
654,865
656,20
659,52
663,671
669,614
674,470
676,419
678,701
680,988
682,555
683,163
684,730
688,723
695,944
698,376
700,594
707,171
712,64
714,234
718,126
721,359
722,479
729,1394
732,313
733,90
736,562
739,51
742,581
746,263
747,812
751,1195
752,879
753,19
757,635
758,247
759,1436
761,890
764,237
765,858
766,846
768,1332
769,749
773,690
774,776
775,322
777,235
778,723
780,615
782,1124
785,977
790,698
791,844
793,704
794,879
795,563
797,274
800,1362
801,27
802,779
806,737
809,984
810,554
811,328
812,398
814,108
819,908
820,775
821,943
825,526
826,220
828,894
830,216
831,881
832,144
834,17
836,577
838,233
845,38
846,732
850,973
851,705
853,986
856,963
857,381
858,685
859,210
860,684
863,764
864,298
868,856
869,774
870,553
871,348
873,1317
876,1218
877,343
879,685
880,783
884,963
887,776
891,411
893,2685
894,810
895,1081
896,150
898,260
900,974
901,927
904,994
906,455
907,1174
912,955
913,440
915,919
916,707
918,282
921,1396
922,35
923,485
927,1538
928,967
929,610
930,897
935,961
936,987
937,1074
938,235
940,339
945,137
947,565
953,569
955,935
961,1426
963,319
966,622
967,224
970,348
972,971
973,702
975,498
977,144
978,190
981,293
992,91
993,748
