5183,6151
3889,7517
964,4876
2196,5607
3731,9248
7036,9689
1764,5611
662,1517
9818,4338
3619,8549
3477,9878
9024,4533
3249,6986
6916,8014
2012,671
7763,3479
2277,927
8208,9577
5856,2450
1615,1384
502,1615
4647,9497
4905,4099
5398,6805
5637,1575
4095,7689
7409,2753
8415,902
5429,1018
5918,3515
8550,6391
1328,29
397,774
1035,2881
9253,2167
6099,1942
8323,5652
8816,5826
2256,9663
369,6327
8626,3767
3386,4481
7321,3094
6681,3038
1941,4969
7591,2843
9796,2765
169,9800
3929,9202
3430,2439
3992,9711
515,598
8334,1523
618,2437
9150,5859
74,7558
8550,1508
2263,1538
4496,3511
3986,6450
9060,924
6995,9840
203,2996
66,1354
4862,9207
8406,7071
9469,4974
8437,8378
8763,79
2874,8265
199,3779
148,601
1541,5397
4650,4431
6491,2473
2749,1797
7896,7334
4470,6671
4030,9201
2351,2377
7408,2104
2526,1343
6263,1560
5467,9224
2879,2572
7986,2448
8974,802
3236,1249
8452,3707
6984,4061
6301,9455
7631,5659
3044,7851
7205,4091
1010,4633
4291,7015
4724,1209
7538,105
1658,7697
5114,899
